sentence_id,volume,group_start,seg_idx,src_file,t_start,t_end,duration,media_file,source
76,1,51,25,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,112.265,114.264,1.999,media/ZS_F1_0076.mp3,F1-GMS-0051C 01:52.27-01:54.26
77,1,51,26,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,116.305,117.428,1.122,media/ZS_F1_0077.mp3,F1-GMS-0051C 01:56.31-01:57.43
78,1,51,27,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,119.772,121.309,1.538,media/ZS_F1_0078.mp3,F1-GMS-0051C 01:59.77-02:01.31
79,1,51,28,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,123.751,125.637,1.887,media/ZS_F1_0079.mp3,F1-GMS-0051C 02:03.75-02:05.64
80,1,51,29,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,127.545,129.588,2.042,media/ZS_F1_0080.mp3,F1-GMS-0051C 02:07.55-02:09.59
81,1,51,30,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,131.647,132.880,1.233,media/ZS_F1_0081.mp3,F1-GMS-0051C 02:11.65-02:12.88
82,1,51,31,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,135.135,136.611,1.476,media/ZS_F1_0082.mp3,F1-GMS-0051C 02:15.14-02:16.61
83,1,51,32,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,138.789,141.262,2.473,media/ZS_F1_0083.mp3,F1-GMS-0051C 02:18.79-02:21.26
84,1,51,33,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,143.298,144.880,1.582,media/ZS_F1_0084.mp3,F1-GMS-0051C 02:23.30-02:24.88
85,1,51,34,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,146.995,149.101,2.106,media/ZS_F1_0085.mp3,F1-GMS-0051C 02:27.00-02:29.10
86,1,51,35,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,151.595,154.017,2.422,media/ZS_F1_0086.mp3,F1-GMS-0051C 02:31.59-02:34.02
87,1,51,36,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,156.197,157.882,1.685,media/ZS_F1_0087.mp3,F1-GMS-0051C 02:36.20-02:37.88
88,1,51,37,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,160.707,162.463,1.756,media/ZS_F1_0088.mp3,F1-GMS-0051C 02:40.71-02:42.46
89,1,51,38,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,165.150,167.250,2.099,media/ZS_F1_0089.mp3,F1-GMS-0051C 02:45.15-02:47.25
90,1,51,39,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,169.993,171.924,1.931,media/ZS_F1_0090.mp3,F1-GMS-0051C 02:49.99-02:51.92
91,1,51,40,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,174.017,175.282,1.266,media/ZS_F1_0091.mp3,F1-GMS-0051C 02:54.02-02:55.28
92,1,51,41,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,178.299,180.307,2.008,media/ZS_F1_0092.mp3,F1-GMS-0051C 02:58.30-03:00.31
93,1,51,42,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,182.252,183.790,1.538,media/ZS_F1_0093.mp3,F1-GMS-0051C 03:02.25-03:03.79
94,1,51,43,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,185.959,188.584,2.625,media/ZS_F1_0094.mp3,F1-GMS-0051C 03:05.96-03:08.58
95,1,51,44,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,190.602,193.015,2.413,media/ZS_F1_0095.mp3,F1-GMS-0051C 03:10.60-03:13.02
96,1,51,45,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,194.898,197.526,2.628,media/ZS_F1_0096.mp3,F1-GMS-0051C 03:14.90-03:17.53
97,1,51,46,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,199.661,202.191,2.530,media/ZS_F1_0097.mp3,F1-GMS-0051C 03:19.66-03:22.19
98,1,51,47,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,204.111,205.726,1.614,media/ZS_F1_0098.mp3,F1-GMS-0051C 03:24.11-03:25.73
99,1,51,48,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,208.027,210.524,2.496,media/ZS_F1_0099.mp3,F1-GMS-0051C 03:28.03-03:30.52
100,1,51,49,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,212.434,214.122,1.688,media/ZS_F1_0100.mp3,F1-GMS-0051C 03:32.43-03:34.12
